index	song	artist
0	Can Jesus Muss Weg Mein	Italian Surf Academy Amen
1	Manchester Fur Bernd Zig Zaj Killerhippies	Hinkle aka
2	You Mama All My Song How	Hazelwood Committed
3	McGee He	Standard remixing
4	Dies Irae	RIAA Captain Beefheart
5	, D ) Jackknife	Tokyo Seranaders Patsy Cline
6	Route Days The	& Her Kiss Curtis
7	To Me Down	Mayfield & Mouth
8	A Blue Monster	Lisa Tani / Bruce
9	House Twin Killers Manzabozh bust	Albrechstberger / Go Genre
10	Renunciar Kleines Madchen A	The Carrie Nations The Limianas
11	You Are Not	Jane Birkin -
12	USA Today	OOIOO Seigen
13	Blue Have	Lou Reed & Irwin
14	, Large Green Grass	People Like Us Hans
15	What 's He	My Own
16	Dogs The Future	DDR Helge Schneider & Adrian
17	, Wah	Various / Oliver Nelson
18	Our Day I	Ronnie Ong Otomo Yoshihide
19	Mind This Aint Got	Sigh T. Vinkovsky /
20	For What	Hund Brian ENo Dyse
21	of the correct	Yorgensoon Mum Peggy Lee
22	Jigs Spirit Polipi	DJ BrokenWindow Gwigwi Mrwebi
23	Dont Miss	Dave the New
24	Me Make the	Secos and Mouth Band
25	Little Boys and Crow Upriver Little Pigs	vs Scroobius
26	Calling Umo Puhumatta Paras Alman	Beale The Kleptones Messer Chups
27	Rose Room Ein Geschenk Longanisse Glub	Jorgen Ingemann &
28	Jar 101	Bartholomew 15.60.75 ( s )
29	's Theme from the Song	People Like Us Bob
30	SIng The Security Recession or	The Hot Cha
31	Know How To	with Gaylord
32	W No Kyoku	Groaners and
33	in D Igor	Players and
34	) Japanese Queen	Assagai Unknown Ball Hiding British
35	Ridge Die Hexer Roger Waters Flow	Basement Jaxx DJ Shadow
36	Cyrus Weenie Remix ) India Song For	Harry Nilsson
37	Days Opposite Day For Real	Christian Con Man Les Japonaises
38	Moon Bossa Nova Inexplicicata Acucar Candy	Helen and Son Don
